"Prevalence_ID","Topography","Topo_code","Morphology","Morpho_code","Sample_analyzed","Sample_mutated","Population","Country","Comment","Ref_ID","Cross_Ref_ID","Title","Authors","S_Ref_Year","Journal","Volume","Start_page","End_page","PubMed","Ref_comment","Tissue_processing","Start_material","Prescreening","Material_sequenced","exon2","exon3","exon4","exon5","exon6","exon7","exon8","exon9","exon10","exon11","Exclude_analysis","WGS_WXS"
"11","BREAST","C50","Carcinoma, NOS","8010/3","49","7","Northern America","USA","Invasive cancers","91","","Genetic basis for p53 overexpression in human breast cancer","Davidoff AM;Humphrey PA;Iglehart JD;Marks JR;","1991","Proc Natl Acad Sci U S A","88","5006","5010","0002052583","","frozen","RNA","none","direct","false","false","true","true","true","true","true","true","true","false","false","No"
"12","BREAST","C50","Cancer, NOS","8000/3","13","2","Northern America","USA","","92","","Loss of heterozygosity on the short arm of chromosome 17 is associated with high proliferative capacity and DNA aneuploidy in primary human breast cancer","Chen LC;Neubauer A;Kurisu W;Waldman FM;Ljung BM;Goodson W;Goldman ES;Moore D;Balazs M;Liu E;","1991","Proc Natl Acad Sci U S A","88","3847","3851","0001673792","","frozen","DNA","none","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"13","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","6","2","Eastern Asia","China","p53 IHC positive tumors","132","","p53 mutation and protein accumulation during multistage human esophageal carcinogenesis","Bennett WP;Hollstein MC;Metcalf RA;Welsh JA;He A;Zhu SM;Kusters I;Resau JH;Trump BF;Lane DP;","1992","Cancer Res","52","6092","6097","0001394236","","fixed","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"14","STOMACH","C16","Adenoma, NOS","8140/0","10","3","Eastern Asia","Japan","","134","134","p53 gene mutations in gastric adenomas","Tohdo H;Yokozaki H;Haruma K;Kajiyama G;Tahara E;","1993","Virchows Arch B Cell Pathol Incl Mol Pathol","63","191","195","0008097076","","frozen","DNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"15","STOMACH","C16","Carcinoma, NOS","8010/3","1","1","Eastern Asia","Japan","Carcinoma in adenoma","134","134","p53 gene mutations in gastric adenomas","Tohdo H;Yokozaki H;Haruma K;Kajiyama G;Tahara E;","1993","Virchows Arch B Cell Pathol Incl Mol Pathol","63","191","195","0008097076","","frozen","DNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"16","ESOPHAGUS","C15","Carcinoma, NOS","8010/3","24","12","Southern Europe","Italy","","139","","Correlation of p53 mutations with epidermal growth factor receptor overexpression and absence of mdm2 amplification in human esophageal carcinomas","Esteve A;Lehman T;Jiang W;Weinstein IB;Harris CC;Ruol A;Peracchia A;Montesano R;Hollstein M;","1993","Mol Carcinog","8","306","311","0008280379","","fixed","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"17","STOMACH","C16","Cancer, NOS","8000/3","14","7","Eastern Asia","Japan","","151","","p53 gene mutations in human gastric cancer: wild-type p53 but not mutant p53 suppresses growth of human gastric cancer cells","Matozaki T;Sakamoto C;Suzuki T;Matsuda K;Uchida T;Nakano O;Wada K;Nishisaki H;Konda Y;Nagao M;","1992","Cancer Res","52","4335","4341","0001322785","","frozen","RNA","none","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"18","HEAD&NECK, NOS","C00-C14","Squamous cell carcinoma, NOS","8070/3","30","16","Northern America","USA","","152","","Occurrence of p53 gene deletions and human papilloma virus infection in human head and neck cancer","Brachman DG;Graves D;Vokes E;Beckett M;Haraf D;Montag A;Dunphy E;Mick R;Yandell D;Weichselbaum RR;","1992","Cancer Res","52","4832","4836","0001324797","","frozen","DNA","SSCP","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"19","ESOPHAGUS","C15","Cancer, NOS","8000/3","26","10","Eastern Asia","Japan","","168","","p53 gene mutations in esophageal cancer detected by polymerase chain reaction single-strand conformation polymorphism analysis","Tamura G;Maesawa C;Suzuki Y;Satodate R;Ishida K;Saito K;","1992","Jpn J Cancer Res","83","559","562","0001644659","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"20","STOMACH","C16","Cancer, NOS","8000/3","118","37","Eastern Asia","Japan","","180","","p53 mutation in gastric cancer: a genetic model for carcinogenesis is common to gastric and colorectal cancer","Uchino S;Noguchi M;Ochiai A;Saito T;Kobayashi M;Hirohashi S;","1993","Int J Cancer","54","759","764","0008392033","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"21","STOMACH","C16","Cancer, NOS","8000/3","29","15","Southern Europe","Italy","","190","","Base transitions are the most frequent genetic changes at P53 in gastric cancer","Renault B;van den Broek M;Fodde R;Wijnen J;Pellegata NS;Amadori D;Khan PM;Ranzani GN;","1993","Cancer Res","53","2614","2617","0008495424","","frozen","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"22","ESOPHAGUS","C15","Carcinoma, NOS","8010/3","25","14","NA","NA","","197","","Altered messenger RNA and unique mutational profiles of p53 and Rb in human esophageal carcinomas","Huang Y;Meltzer SJ;Yin J;Tong Y;Chang EH;Srivastava S;McDaniel T;Boynton RF;Zou ZQ;","1993","Cancer Res","53","1889","1894","0008467510","","","DNA","SSCP/none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"23","UTERUS, NOS","C55","Adenocarcinoma, NOS","8140/3","28","7","Eastern Asia","Korea","","218","154","Alterations of the p53 tumor suppressor gene and its association with activation of the c-K-ras-2 protooncogene in premalignant and malignant lesions of the human uterine endometrium","Enomoto T;Fujita M;Inoue M;Rice JM;Nakajima R;Tanizawa O;Nomura T;","1993","Cancer Res","53","1883","1888","0008385572","Add info in ref 424 and 290","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"24","HEAD&NECK, NOS","C00-C14","Cancer, NOS","8000/3","58","13","South Eastern Asia","Chinese Taipei (Taiwan)","","220","","Detection of mutations in the p53 gene in human head and neck carcinomas by single strand conformation polymorphism analysis","Chang YS;Lin YJ;Tsai CN;Shu CH;Tsai MS;Choo KB;Liu ST;","1992","Cancer Lett","67","167","174","0001336431","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"25","STOMACH","C16","Cancer, NOS","8000/3","30","16","Eastern Asia","Japan","","224","","Frequent p53 mutations on exons 5 and 8 in human primary gastric cancer","Fushida S;Urano T;Tsuruta H;Yonemura Y;Miyazaki I;Shiku H;","1993","Int J Oncol","2","563","568","21573592","","frozen","RNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"26","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","32","27","Western Europe","France","","249","","TP53 gene mutation profile in esophageal squamous cell carcinomas","Audrezet MP;Robaszkiewicz M;Mercier B;Nousbaum JB;Bail JP;Hardy E;Volant A;Lozac'h P;Charles JF;Goueron H;","1993","Cancer Res","53","5745","5749","0008242631","","","DNA","none","direct","true","true","true","true","true","true","true","false","false","false","false","No"
"27","HEAD&NECK, NOS","C00-C14","Squamous cell carcinoma, NOS","8070/3","45","11","Northern America","USA","","259","","p53, retinoblastoma, and human papillomavirus in squamous cell carcinoma and adjacent normal mucosa of the upper aerodigestive tract","Lee NK;Ye YW;Chen J;Li X;Waber PG;Nisen PD;","1993","Arch Otolaryngol Head Neck Surg","119","1125","1131","0008398064","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"28","PANCREAS","C25","Cancer, NOS","8000/3","57","20","Southern Europe","Italy","","340","","K-ras and p53 gene mutations in pancreatic cancer: ductal and nonductal tumors progress through different genetic lesions","Pellegata NS;Sessa F;Renault B;Bonato M;Leone BE;Solcia E;Ranzani GN;","1994","Cancer Res","54","1556","1560","0008137263","","fixed","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"29","ESOPHAGUS","C15","Barrett's esophagus","73330","14","9","Northern America","USA","","349","","p53 mutations in Barrett's adenocarcinoma and high-grade dysplasia","Neshat K;Sanchez CA;Galipeau PC;Blount PL;Levine DS;Joslyn G;Reid BJ;","1994","Gastroenterology","106","1589","1595","0008194706","","fresh","DNA","none","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"30","PANCREAS","C25","Adenocarcinoma, NOS","8140/3","27","19","Northern America","USA","","350","350","p53 mutations in pancreatic carcinoma and evidence of common involvement of homocopolymer tracts in DNA microdeletions","Redston MS;Caldas C;Seymour AB;Hruban RH;da Costa L;Yeo CJ;Kern SE;","1994","Cancer Res","54","3025","3033","0008187092","","frozen","DNA","none","cloned","true","true","true","true","true","true","true","true","false","false","false","No"
"31","STOMACH","C16","Cancer, NOS","8000/3","56","7","Southern Europe","Portugal","","371","","p53 alterations in gastric carcinoma: a study of 56 primary tumors and 204 nodal metastases","Seruca R;David L;Castedo S;Veiga I;Borresen AL;Sobrinho-Simoes M;","1994","Cancer Genet Cytogenet","75","45","50","0008039163","","frozen","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"32","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","15","10","Northern America","USA","","378","","Prevalence of p53 mutations in patients with squamous cell carcinoma of the esophagus","Gates CE;Reed CE;Bromberg JS;Everett ET;Baron PL;","1994","J Thorac Cardiovasc Surg","108","148","152","0008028358","","frozen","RNA","none","cloned","false","false","true","true","true","true","true","true","false","false","false","No"
"33","PANCREAS","C25","Cancer, NOS","8000/3","30","8","NA","NA","","413","","Comparative analysis of mutations in the p53 and K-ras genes in pancreatic cancer","Berrozpe G;Schaeffer J;Peinado MA;Real FX;Perucho M;","1994","Int J Cancer","58","185","191","0008026879","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"35","LARYNX","C32","Squamous cell carcinoma, NOS","8070/3","40","13","Eastern Europe","Poland","","439","","p53 mutations in larynx cancer","Zhang LF;Hemminki K;Szyfter K;Szyfter W;Soderkvist P;","1994","Carcinogenesis","15","2949","2951","0008001261","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"36","HEAD&NECK, NOS","C00-C14","Squamous cell carcinoma, NOS","8070/3","28","18","Western Europe","France","","444","","High incidence of p53 alterations (mutation, deletion, overexpression) in head and neck primary tumors and metastases; absence of correlation with clinical outcome. Frequent protein overexpression in normal epithelium and in early non-invasive lesions","Ahomadegbe JC;Barrois M;Fogel S;Le Bihan ML;Douc-Rasy S;Duvillard P;Armand JP;Riou G;","1995","Oncogene","10","1217","1227","0007700647","","frozen","DNA","SSCP","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"37","HEAD&NECK, NOS","C00-C14","Squamous cell carcinoma, NOS","8070/3","129","54","Northern America","USA","","448","","Association between cigarette smoking and mutation of the p53 gene in squamous-cell carcinoma of the head and neck","Brennan JA;Boyle JO;Koch WM;Goodman SN;Hruban RH;Eby YJ;Couch MJ;Forastiere AA;Sidransky D;","1995","N Engl J Med","332","712","717","0007854378","","frozen","DNA","none","cloned","false","false","false","true","true","true","true","true","false","false","false","No"
"38","STOMACH","C16","Cancer, NOS","8000/3","9","3","Southern Europe","Italy","","455","","TP53 gene mutations in gastric carcinoma detected by polymerase chain reaction/single-strand conformation polymorphism analysis of archival material","D'Andrea E;Baffa R;Menin C;Montagna M;Rugge M;Chieco-Bianchi L;","1995","J Cancer Res Clin Oncol","121","79","83","0007883779","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"39","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","91","42","Northern America","USA","","464","464","Gender comparisons in human lung cancer: analysis of p53 mutations, anti-p53 serum antibodies and C-erbB-2 expression","Guinee DG;Travis WD;Trivers GE;De Benedetti VM;Cawley H;Welsh JA;Bennett WP;Jett J;Colby TV;Tazelaar H;","1995","Carcinogenesis","16","993","1002","0007767998","Updated with ref 678 and add info from D. Guinee; see ref 2150","frozen","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"40","STOMACH","C16","Adenocarcinoma, NOS","8140/3","34","22","Southern Europe","Italy","","468","","Mutations of the K-ras and p53 genes in gastric adenocarcinomas from a high-incidence region around Florence, Italy","Hongyo T;Buzard GS;Palli D;Weghorst CM;Amorosi A;Galli M;Caporaso NE;Fraumeni JF;Rice JM;","1995","Cancer Res","55","2665","2672","0007780983","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"41","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","8","4","Eastern Asia","China","","480","","p53 mutations in esophageal tumors from high-incidence areas of China","Liang YY;Esteve A;Martel-Planche G;Takahashi S;Lu SH;Montesano R;Hollstein M;","1995","Int J Cancer","61","611","614","0007768632","","fixed","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"42","STOMACH","C16","Adenocarcinoma, NOS","8140/3","14","6","Eastern Asia","China","","480","","p53 mutations in esophageal tumors from high-incidence areas of China","Liang YY;Esteve A;Martel-Planche G;Takahashi S;Lu SH;Montesano R;Hollstein M;","1995","Int J Cancer","61","611","614","0007768632","","fixed","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"43","PANCREAS","C25","Adenocarcinoma, NOS","8140/3","37","16","Eastern Asia","Japan","","494","","Association of p53 gene mutations with short survival in pancreatic adenocarcinoma","Nakamori S;Yashima K;Murakami Y;Ishikawa O;Ohigashi H;Imaoka S;Yaegashi S;Konishi Y;Sekiya T;","1995","Jpn J Cancer Res","86","174","181","0007730141","","frozen","DNA","SSCP","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"44","STOMACH","C16","Adenoma, NOS","8140/0","18","5","Eastern Asia","Japan","","504","","Clinicopathological and molecular biological studies of gastric adenomas with special reference to p53 abnormality","Sakurai S;Sano T;Nakajima T;","1995","Pathol Int","45","51","57","0007704244","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"45","ESOPHAGUS","C15","Adenocarcinoma, NOS","8140/3","16","11","Northern Europe","Ireland","","522","","Base transitions at CpG dinucleotides in the p53 gene are common in esophageal adenocarcinoma","Gleeson CM;Sloan JM;McGuigan JA;Ritchie AJ;Russell SE;","1995","Cancer Res","55","3406","3411","0007614480","","frozen","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"46","STOMACH","C16","Adenoma, NOS","8140/0","30","0","Eastern Asia","Japan","","525","","The sequential accumulation of genetic alterations characteristic of the colorectal adenoma-carcinoma sequence does not occur between gastric adenoma and adenocarcinoma","Maesawa C;Tamura G;Suzuki Y;Ogasawara S;Sakata K;Kashiwaba M;Satodate R;","1995","J Pathol","176","249","258","0007674088","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"47","STOMACH","C16","Adenocarcinoma, NOS","8140/3","72","25","Eastern Asia","Japan","","525","","The sequential accumulation of genetic alterations characteristic of the colorectal adenoma-carcinoma sequence does not occur between gastric adenoma and adenocarcinoma","Maesawa C;Tamura G;Suzuki Y;Ogasawara S;Sakata K;Kashiwaba M;Satodate R;","1995","J Pathol","176","249","258","0007674088","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"48","STOMACH","C16","Cancer, NOS","8000/3","56","21","NA","NA","","526","","Frequency and spectrum of p53 mutations in gastric cancer--a molecular genetic and immunohistochemical study","Poremba C;Yandell DW;Huang Q;Little JB;Mellin W;Schmid KW;Bocker W;Dockhorn-Dworniczak B;","1995","Virchows Arch","426","447","455","0007633655","","frozen","DNA","SSCP","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"49","STOMACH","C16","Cancer, NOS","8000/3","53","24","Southern Europe","Italy","","579","","p53 gene mutations and protein nuclear accumulation are early events in intestinal type gastric cancer but late events in diffuse type","Ranzani GN;Luinetti O;Padovan LS;Calistri D;Renault B;Burrel M;Amadori D;Fiocca R;Solcia E;","1995","Cancer Epidemiol Biomarkers Prev","4","223","231","0007606196","","fixed","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"51","STOMACH","C16","Cancer, NOS","8000/3","80","18","South Eastern Asia","Chinese Taipei (Taiwan)","","606","","p53 mutations in gastric cancers from Taiwan","Hsieh LL;Hsieh JT;Wang LY;Fang CY;Chang SH;Chen TC;","1996","Cancer Lett","100","107","113","0008620428","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"52","ESOPHAGUS","C15","Carcinoma, NOS","8010/3","209","87","Eastern Asia","China, Hong-Kong","","621","","p53 mutational spectrum of esophageal carcinomas from five different geographical locales in China","Lung ML;Chan WC;Zong YS;Tang CM;Fok CL;Wong KT;Chan LK;Lau KW;","1996","Cancer Epidemiol Biomarkers Prev","5","277","284","0008722219","","","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","true","No"
"53","OTHER AND UNSPECIFIED PARTS OF MOUTH","C06","Carcinoma, NOS","8010/3","53","11","South Central Asia","India","","629","","p53 gene mutations in oral carcinomas from India","Munirajan AK;Tutsumi-Ishii Y;Mohanprasad BK;Hirano Y;Munakata N;Shanmugam G;Tsuchida N;","1996","Int J Cancer","66","297","300","0008621246","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"54","OTHER AND UNSPECIFIED PARTS OF MOUTH","C06","Squamous cell carcinoma, NOS","8070/3","80","39","Northern Europe","Sweden","","632","","A non-random deletion in the p53 gene in oral squamous cell carcinoma","Nylander K;Schildt EB;Eriksson M;Magnusson A;Mehle C;Roos G;","1996","Br J Cancer","73","1381","1386","0008645583","","fixed","DNA","SSCP","cloned","false","false","false","true","true","true","true","true","false","false","false","No"
"55","STOMACH","C16","Carcinoma, NOS","8010/3","31","6","Southern Europe","Italy","","642","","Molecular diagnosis of p53 mutations in gastric carcinoma by touch preparation","Ricevuto E;Ficorella C;Fusco C;Cannita K;Tessitore A;Toniato E;Gabriele A;Frati L;Marchetti P;Gulino A;Martinotti S;","1996","Am J Pathol","148","405","413","0008579104","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"56","OTHER AND UNSPECIFIED PARTS OF MOUTH","C06","Squamous cell carcinoma, NOS","8070/3","23","6","Eastern Asia","Japan","","647","","Alterations of tumor suppressor genes and the H-ras oncogene in oral squamous cell carcinoma","Sakata K;","1996","J Oral Pathol Med","25","302","307","0008887073","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"57","ESOPHAGUS","C15","Hyperplasia, NOS","72000","17","3","Eastern Asia","China","Basal cell hyperplasia","665","377","p53 protein accumulation and gene mutations in multifocal esophageal precancerous lesions from symptom free subjects in a high incidence area for esophageal carcinoma in Henan, China","Wang LD;Zhou Q;Hong JY;Qiu SL;Yang CS;","1996","Cancer","77","1244","1249","0008608498","","fixed","DNA","IHC/SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"58","ESOPHAGUS","C15","Dysplasia, NOS","74000","13","3","Eastern Asia","China","","665","377","p53 protein accumulation and gene mutations in multifocal esophageal precancerous lesions from symptom free subjects in a high incidence area for esophageal carcinoma in Henan, China","Wang LD;Zhou Q;Hong JY;Qiu SL;Yang CS;","1996","Cancer","77","1244","1249","0008608498","","fixed","DNA","IHC/SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"59","PANCREAS","C25","Adenocarcinoma, NOS","8140/3","71","28","Western Europe","Austria","+ 1 SNP deleted","667","","p53, Ki-ras, and DNA ploidy in human pancreatic ductal adenocarcinomas","Weyrer K;Feichtinger H;Haun M;Weiss G;Ofner D;Weger AR;Umlauft F;Grunewald K;","1996","Lab Invest","74","279","289","0008569192","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"60","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","154","88","Northern America","USA","","677","","DNA sequence analysis of exons 2 through 11 and immunohistochemical staining are required to detect all known p53 alterations in human malignancies","Casey G;Lopez ME;Ramos JC;Plummer SJ;Arboleda MJ;Shaughnessy M;Karlan B;Slamon DJ;","1996","Oncogene","13","1971","1981","0008934544","","frozen","RNA","none","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"61","BREAST","C50","Neoplasm, NOS","8000/1","93","24","Northern America","USA","","677","","DNA sequence analysis of exons 2 through 11 and immunohistochemical staining are required to detect all known p53 alterations in human malignancies","Casey G;Lopez ME;Ramos JC;Plummer SJ;Arboleda MJ;Shaughnessy M;Karlan B;Slamon DJ;","1996","Oncogene","13","1971","1981","0008934544","","frozen","RNA","none","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"62","OVARY","C56","Cancer, NOS","8000/3","108","62","Northern America","USA","","677","","DNA sequence analysis of exons 2 through 11 and immunohistochemical staining are required to detect all known p53 alterations in human malignancies","Casey G;Lopez ME;Ramos JC;Plummer SJ;Arboleda MJ;Shaughnessy M;Karlan B;Slamon DJ;","1996","Oncogene","13","1971","1981","0008934544","","frozen","RNA","none","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"63","SMALL INTESTINE","C17","Adenocarcinoma, NOS","8140/3","15","4","Eastern Asia","Japan","","683","","Mutations of the Ki-ras, p53 and APC genes in adenocarcinomas of the human small intestine","Arai M;Shimizu S;Imai Y;Nakatsuru Y;Oda H;Oohara T;Ishikawa T;","1997","Int J Cancer","70","390","395","0009033644","","fixed","DNA","none","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"64","HEAD&NECK, NOS","C00-C14","Squamous cell carcinoma, NOS","8070/3","27","9","Northern Europe","UK","","705","","p53 mutations in relation to human papillomavirus type 16 infection in squamous cell carcinomas of the head and neck","Scholes AG;Liloglou T;Snijders PJ;Hart CA;Jones AS;Woolgar JA;Vaughan ED;Walboomers JM;Field JK;","1997","Int J Cancer","71","796","799","0009180148","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"65","HEAD&NECK, NOS","C00-C14","Squamous cell carcinoma, NOS","8070/3","46","19","Western Europe","Germany","","723","","Overexpression of p53 protein and p53 mutations in oral carcinoma","Barten M;Ostwald C;Gogacz P;Wukasch Y;Gundlach K;Milde-Langosch K;Loning T;","1996","Elsevier Science","","313","319","NA","","frozen","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"68","STOMACH","C16","Carcinoma, NOS","8010/3","46","20","Eastern Asia","Japan","","804","","Analysis of chromosome 17p13 (p53 locus) alterations in gastric carcinoma cells by dual-color fluorescence in situ hybridization","Kobayashi M;Kawashima A;Mai M;Ooi A;","1996","Am J Pathol","149","1575","1584","0008909247","","frozen","DNA","","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"69","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","70","25","Eastern Asia","China, Hong-Kong","","809","","Prevalence and predictive value of p53 mutation in patients with oesophageal squamous cell carcinomas: a prospective clinico- pathological study and survival analysis of 70 patients","Lam KY;Tsao SW;Zhang D;Law S;He D;Ma L;Wong J;","1997","Int J Cancer","74","212","219","0009133458","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
